1425556087864967172,122
1442731171314536451,37
1442867419798671361,80
1447294032179351557,91
1418159091042553867,2
1410931206770860032,16
1413355648973254664,50
1434161418161442830,24
1421120974599163912,10
1418465552209690625,10
1417654106437652481,34
1440970259926769666,22
1409497917644226563,1
1446521938755694592,1
1421086650176782341,1
1442961413228699648,1
1420488786736209922,1
1410946666623127556,1
1414946362945425416,1
1432292855037394953,1
1430093867127353363,1
1423622807913566212,1
1417652398579982337,26
1410328481335029765,1
1428644296878661634,4
1415311820869586952,4
1442848700628357135,8
1442847383281356810,5
1410270080873598979,4
1422159909957869572,3
1442847310648680458,1
1446797310780968961,1
1447094107155931137,1
1414595567112568836,1
1442848500358733826,1
1417013943843885057,1
1417050651419312128,2
1413906842670018563,1
1419782381972635648,1
1420766703462633474,1
1425097019312508932,1
1416003415138873347,1
1437741809753538561,1
1425459494969126912,1
1425449135101075463,1
1415937945467564032,1
1446089970758860801,1
1446114085855121418,1
1422632749282775050,2
1442848232451805192,1
